id,autor,titulo,ano_edicao,ano_primeira_edicao,idioma,tipo_edicao,tradutor,editora,cidade,isbn,arquivo_pdf,status_upload,escopo_etapa1,observacoes
latour_woolgar_1986_lab_life_en,Latour Bruno; Woolgar Steve,Laboratory Life: The Construction of Scientific Facts,1986,1979,en,edicao_revisada,,Princeton University Press,Princeton,9780691028323,latour_woolgar_1986_lab_life_en.pdf,pendente,sim,Etapa 1. Coautoria com Steve Woolgar. Segunda edicao remove 'Social' do subtitulo e inclui pos-escrito.
latour_1987_science_action_en,Latour Bruno,Science in Action: How to Follow Scientists and Engineers through Society,1987,1987,en,original,,Harvard University Press,Cambridge MA,9780674792913,latour_1987_science_action_en.pdf,pendente,sim,Etapa 1. Latour solo.
latour_1999_pandora_en,Latour Bruno,Pandora's Hope: Essays on the Reality of Science Studies,1999,1999,en,original,,Harvard University Press,Cambridge MA,9780674653368,latour_1999_pandora_en.pdf,pendente,sim,Etapa 1. Latour solo. Introducao do conceito de factish.
haraway_2016_trouble_en,Haraway Donna,Staying with the Trouble: Making Kin in the Chthulucene,2016,2016,en,original,,Duke University Press,Durham,9780822362241,haraway_2016_trouble_en.pdf,pendente,nao,Reservada para etapa posterior.
haraway_2023_problema_pt,Haraway Donna,Ficar com o Problema: Fazer parentes no Chthuluceno,2023,2016,pt,traducao,A confirmar,n-1 edicoes,Sao Paulo,A confirmar,haraway_2023_problema_pt.pdf,pendente,nao,Reservada para rodada de analise de traducao em etapa posterior.
haraway_1991_simians_en,Haraway Donna,"Simians, Cyborgs, and Women: The Reinvention of Nature",1991,1991,en,original,,Routledge,New York,9780415903868,haraway_1991_simians_en.pdf,pendente,nao,Inclui Cyborg Manifesto (versao de 1991).
haraway_1997_modest_witness_en,Haraway Donna,Modest_Witness@Second_Millennium.FemaleMan_Meets_OncoMouse,1997,1997,en,original,,Routledge,New York,9780415912457,haraway_1997_modest_witness_en.pdf,pendente,nao,Verificar entrada bib (underscores escapados).
haraway_2008_species_en,Haraway Donna,When Species Meet,2008,2008,en,original,,University of Minnesota Press,Minneapolis,9780816650460,haraway_2008_species_en.pdf,pendente,nao,
law_2004_after_method_en,Law John,After Method: Mess in Social Science Research,2004,2004,en,original,,Routledge,London,9780415341752,law_2004_after_method_en.pdf,disponivel_em_project,nao,Ja disponivel em /mnt/project/. Pagina 85 = tres modos de Otherness.
law_1994_organizing_en,Law John,Organizing Modernity,1994,1994,en,original,,Blackwell,Oxford,9780631185130,law_1994_organizing_en.pdf,pendente,nao,Se acessivel.
law_2002_aircraft_en,Law John,Aircraft Stories: Decentering the Object in Technoscience,2002,2002,en,original,,Duke University Press,Durham,9780822328247,law_2002_aircraft_en.pdf,pendente,nao,Se acessivel.
