pagina,classe,n_chars,n_palavras,qualidade_pagina
1,paratexto,6084,307,boa
2,paratexto,586,78,boa
3,paratexto,58,9,boa
4,paratexto,945,143,boa
5,inicio_capitulo,1142,185,boa
6,corpo,2295,394,boa
7,corpo,3158,585,boa
8,corpo,3354,578,boa
9,corpo,2125,368,boa
10,corpo,2596,443,boa
11,corpo,2304,396,boa
12,corpo,2386,403,boa
13,corpo,2174,379,boa
14,corpo,2563,436,boa
15,corpo,2036,357,boa
16,corpo,2260,398,boa
17,corpo,2126,366,boa
18,corpo,2169,380,boa
19,corpo,2945,509,boa
20,corpo,2632,449,boa
21,corpo,1246,219,boa
22,corpo,3427,572,boa
23,corpo,3381,538,boa
24,corpo,1610,291,boa
25,corpo,1861,318,boa
26,corpo,2766,476,boa
27,corpo,3184,522,boa
28,corpo,2491,430,boa
29,corpo,3156,557,boa
30,corpo,2753,455,boa
31,corpo,2471,413,boa
32,corpo,3119,542,boa
33,corpo,3120,543,boa
34,corpo,2494,433,boa
35,corpo,3244,559,boa
36,corpo,2405,427,boa
37,corpo,2497,431,boa
38,corpo,3126,561,boa
39,corpo,1175,201,boa
40,corpo,1064,179,media
41,corpo,3261,544,boa
42,corpo,3096,521,boa
43,corpo,2664,446,boa
44,corpo,2210,376,boa
45,corpo,2217,397,boa
46,corpo,3177,564,boa
47,corpo,1925,325,boa
48,corpo,2105,366,boa
49,corpo,2034,349,boa
50,corpo,2201,388,boa
51,corpo,3068,545,boa
52,corpo,2140,369,boa
53,corpo,2228,392,boa
54,inicio_capitulo,2752,459,boa
55,corpo,3090,535,boa
56,corpo,1861,304,boa
57,corpo,3310,574,boa
58,corpo,3270,559,boa
59,corpo,2626,432,boa
60,corpo,1970,340,boa
61,corpo,2616,455,boa
62,corpo,2941,511,boa
63,corpo,2159,386,boa
64,corpo,2971,523,boa
65,corpo,2458,400,boa
66,corpo,2806,470,boa
67,corpo,3179,547,boa
68,corpo,2693,482,boa
69,corpo,2468,424,boa
70,corpo,2980,542,boa
71,corpo,1598,234,boa
72,qualidade_baixa,201,26,baixa
73,corpo,2345,415,boa
74,corpo,2948,512,boa
75,corpo,3120,506,boa
76,corpo,2919,511,boa
77,corpo,1324,222,boa
78,corpo,2783,477,boa
79,corpo,3473,632,boa
80,corpo,3500,617,boa
81,corpo,3521,605,boa
82,corpo,3314,559,boa
83,corpo,3200,547,boa
84,corpo,1474,265,boa
85,corpo,3283,580,boa
86,corpo,3230,577,boa
87,corpo,2863,481,boa
88,corpo,3218,554,boa
89,corpo,3093,525,boa
90,corpo,2472,442,boa
91,corpo,3030,523,boa
92,corpo,3393,560,boa
93,corpo,2884,473,boa
94,corpo,2618,447,boa
95,corpo,3419,569,boa
96,corpo,3533,590,boa
97,corpo,3079,510,boa
98,corpo,3343,519,boa
99,corpo,3152,520,boa
100,corpo,3330,561,boa
101,corpo,3116,527,boa
102,corpo,3059,526,boa
103,corpo,2001,353,boa
104,corpo,3142,548,boa
105,corpo,3196,524,boa
106,corpo,3132,537,boa
107,corpo,3402,581,boa
108,corpo,3023,520,boa
109,corpo,2759,478,boa
110,corpo,2991,521,boa
111,corpo,2952,502,boa
112,corpo,3097,522,boa
113,corpo,3264,563,boa
114,corpo,2345,411,boa
115,corpo,3275,562,boa
116,corpo,1254,211,boa
117,corpo,3365,592,boa
118,corpo,3119,533,boa
119,corpo,3057,530,boa
120,corpo,2920,511,boa
121,corpo,3274,579,boa
122,corpo,2182,370,boa
123,corpo,3286,534,boa
124,corpo,1845,323,boa
125,corpo,2925,499,boa
126,corpo,2981,517,boa
127,corpo,3002,527,boa
128,corpo,2609,460,boa
129,corpo,2685,464,boa
130,corpo,3143,540,boa
131,corpo,2712,465,boa
132,corpo,3199,550,boa
133,corpo,3162,531,boa
134,corpo,3088,522,boa
135,corpo,2620,430,boa
136,corpo,2203,381,boa
137,corpo,3038,515,boa
138,corpo,2905,500,boa
139,corpo,3298,588,boa
140,corpo,3175,535,boa
141,corpo,3332,565,boa
142,corpo,3253,531,boa
143,corpo,3166,509,boa
144,corpo,3268,593,boa
145,corpo,3231,577,boa
146,corpo,3179,567,boa
147,corpo,2913,516,boa
148,inicio_capitulo,2908,487,boa
149,corpo,2898,483,boa
150,corpo,3352,562,boa
151,corpo,3396,588,boa
152,corpo,3171,531,boa
153,corpo,3379,605,boa
154,corpo,3442,633,boa
155,corpo,2678,466,boa
156,corpo,3430,580,boa
157,corpo,3082,511,boa
158,corpo,1181,187,boa
159,corpo,2836,489,boa
160,corpo,2110,359,boa
161,corpo,2402,384,boa
162,corpo,2616,446,boa
163,corpo,3383,590,boa
164,corpo,3258,569,boa
165,corpo,3235,549,boa
166,corpo,3085,525,boa
167,corpo,3236,568,boa
168,corpo,3188,564,boa
169,corpo,2471,421,boa
170,corpo,2750,474,boa
171,corpo,2417,423,boa
172,corpo,3277,558,boa
173,corpo,3506,616,boa
174,corpo,2904,483,boa
175,corpo,3478,608,boa
176,corpo,3156,539,boa
177,corpo,1300,208,boa
178,corpo,2808,464,boa
179,corpo,3116,556,boa
180,corpo,2172,356,boa
181,corpo,2145,349,boa
182,corpo,1916,271,boa
183,corpo,3294,573,boa
184,corpo,3023,512,boa
185,corpo,3095,536,boa
186,corpo,1986,330,boa
187,corpo,2005,341,boa
188,corpo,1883,325,boa
189,corpo,1221,201,boa
190,corpo,1040,174,boa
191,corpo,994,165,boa
192,corpo,2779,449,boa
193,corpo,3125,531,boa
194,corpo,2996,510,boa
195,corpo,2113,350,boa
196,corpo,3115,534,boa
197,corpo,1135,197,boa
198,corpo,3295,571,boa
199,corpo,2805,472,boa
200,corpo,3186,533,boa
201,corpo,3195,550,boa
202,corpo,2523,427,boa
203,corpo,3388,552,boa
204,corpo,3056,518,boa
205,corpo,3300,559,boa
206,corpo,3371,587,boa
207,corpo,3279,548,boa
208,corpo,3319,561,boa
209,corpo,2607,429,boa
210,corpo,3268,550,boa
211,corpo,3355,545,boa
212,corpo,1635,273,boa
213,corpo,2249,369,boa
214,corpo,1665,261,boa
