pagina,classe,n_chars,n_palavras,qualidade_pagina
1,qualidade_baixa,0,0,baixa
2,paratexto,216,23,boa
3,paratexto,754,68,boa
4,paratexto,94,13,boa
5,qualidade_baixa,0,0,baixa
6,paratexto,1896,291,boa
7,paratexto,1531,254,boa
8,paratexto,1090,113,boa
9,paratexto,429,34,boa
10,paratexto,126,21,boa
11,qualidade_baixa,0,0,baixa
12,inicio_capitulo,1754,308,boa
13,corpo,2650,441,boa
14,corpo,2896,440,boa
15,corpo,2620,441,boa
16,corpo,2578,439,boa
17,corpo,2644,433,boa
18,corpo,2576,443,boa
19,corpo,2692,460,boa
20,corpo,2811,450,boa
21,corpo,2441,410,boa
22,corpo,2654,462,boa
23,corpo,2734,471,boa
24,corpo,2804,469,boa
25,corpo,1863,277,boa
26,corpo,2708,442,boa
27,corpo,2651,438,boa
28,corpo,2640,447,boa
29,corpo,2675,443,boa
30,corpo,2703,457,boa
31,corpo,2793,451,boa
32,corpo,2747,457,boa
33,corpo,2703,469,boa
34,corpo,1556,261,boa
35,inicio_capitulo,1902,318,boa
36,corpo,1357,230,boa
37,corpo,2640,463,boa
38,corpo,2609,446,boa
39,corpo,1390,232,boa
40,corpo,2588,438,boa
41,corpo,2876,487,boa
42,corpo,900,151,boa
43,corpo,2676,455,boa
44,corpo,86,16,boa
45,corpo,2582,468,boa
46,corpo,89,23,boa
47,corpo,2502,440,boa
48,corpo,86,16,boa
49,corpo,2451,398,boa
50,corpo,2690,455,boa
51,corpo,2666,455,boa
52,corpo,1378,223,boa
53,corpo,1418,235,boa
54,corpo,2647,460,boa
55,corpo,1425,243,boa
56,corpo,89,18,boa
57,corpo,2636,464,boa
58,corpo,2627,445,boa
59,corpo,1410,240,boa
60,corpo,2629,481,boa
61,corpo,52,6,boa
62,corpo,2599,439,boa
63,corpo,60,11,boa
64,corpo,2592,437,boa
65,corpo,2630,453,boa
66,corpo,1456,242,boa
67,corpo,2516,404,boa
68,corpo,3007,428,boa
69,corpo,2701,473,boa
70,corpo,1422,232,boa
71,corpo,2635,465,boa
72,corpo,2668,465,boa
73,corpo,61,15,boa
74,corpo,2567,449,boa
75,corpo,2663,473,boa
76,corpo,1416,248,boa
77,corpo,2620,443,boa
78,corpo,2582,445,boa
79,corpo,1356,217,boa
80,corpo,2142,336,boa
81,corpo,2281,344,boa
82,corpo,1863,233,boa
83,corpo,2081,300,boa
84,corpo,2266,320,boa
85,corpo,2606,428,boa
86,corpo,93,25,boa
87,corpo,2508,424,boa
88,corpo,89,22,boa
89,corpo,2669,446,boa
90,corpo,1182,163,boa
91,corpo,1870,318,boa
92,corpo,2495,416,boa
93,corpo,2671,433,boa
94,corpo,2624,432,boa
95,corpo,2339,388,boa
96,corpo,2616,416,boa
97,corpo,2673,433,boa
98,corpo,2688,473,boa
99,corpo,2753,476,boa
100,corpo,2382,276,boa
101,corpo,2653,439,boa
102,corpo,2715,457,boa
103,corpo,3665,265,boa
104,corpo,2705,455,boa
105,corpo,2751,467,boa
106,corpo,2668,474,boa
107,corpo,2600,438,boa
108,corpo,2638,424,boa
109,corpo,2507,408,boa
110,corpo,2542,409,boa
111,corpo,2093,264,boa
112,corpo,2582,427,boa
113,corpo,2516,407,boa
114,corpo,2479,389,boa
115,corpo,2639,427,boa
116,corpo,2618,407,boa
117,corpo,2512,429,boa
118,corpo,2634,471,boa
119,corpo,2653,471,boa
120,corpo,2592,449,boa
121,corpo,2148,328,boa
122,corpo,2701,435,boa
123,corpo,2182,367,boa
124,inicio_capitulo,1919,315,boa
125,corpo,2609,446,boa
126,corpo,2680,438,boa
127,corpo,2568,413,boa
128,corpo,2513,415,boa
129,corpo,2350,391,boa
130,corpo,2642,450,boa
131,corpo,2628,427,boa
132,corpo,2624,419,boa
133,corpo,2579,445,boa
134,corpo,2726,470,boa
135,corpo,2685,469,boa
136,corpo,2724,447,boa
137,corpo,2606,444,boa
138,corpo,2443,425,boa
139,corpo,2725,465,boa
140,corpo,2636,437,boa
141,corpo,2387,356,boa
142,corpo,2741,450,boa
143,corpo,2677,461,boa
144,corpo,2482,415,boa
145,corpo,2228,365,boa
146,corpo,2607,454,boa
147,corpo,2599,448,boa
148,corpo,2818,481,boa
149,corpo,2620,464,boa
150,corpo,2633,452,boa
151,corpo,2632,313,boa
152,corpo,2668,443,boa
153,corpo,1812,236,boa
154,corpo,2760,463,boa
155,corpo,2202,367,boa
156,corpo,1810,295,boa
157,corpo,2500,433,boa
158,corpo,2620,430,boa
159,corpo,2611,459,boa
160,corpo,2631,434,boa
161,corpo,2705,476,boa
162,corpo,2715,447,boa
163,corpo,2642,432,boa
164,corpo,2497,407,boa
165,corpo,2724,434,boa
166,corpo,2724,457,boa
167,corpo,2561,427,boa
168,corpo,2700,423,boa
169,corpo,2653,439,boa
170,corpo,1892,256,boa
171,corpo,2352,362,boa
172,corpo,2738,450,boa
173,corpo,2596,425,boa
174,corpo,2653,424,boa
175,corpo,2430,388,boa
176,corpo,2694,462,boa
177,corpo,2656,412,boa
178,corpo,2597,419,boa
179,corpo,2503,420,boa
180,corpo,2622,426,boa
181,corpo,2730,459,boa
182,corpo,2158,269,boa
183,corpo,2598,412,boa
184,corpo,1154,181,boa
185,corpo,1780,278,boa
186,corpo,2652,446,boa
187,corpo,2482,418,boa
188,corpo,2732,491,boa
189,corpo,2510,444,boa
190,corpo,2678,350,boa
191,corpo,2584,437,boa
192,corpo,1998,317,boa
193,corpo,2670,447,boa
194,corpo,2480,424,boa
195,corpo,1822,233,boa
196,corpo,2513,432,boa
197,corpo,2586,427,boa
198,corpo,2756,348,boa
199,corpo,2764,470,boa
200,corpo,2681,451,boa
201,corpo,2573,428,boa
202,corpo,2651,441,boa
203,corpo,2647,450,boa
204,corpo,2245,357,boa
205,corpo,2703,458,boa
206,corpo,1915,272,boa
207,corpo,2597,408,boa
208,corpo,2630,425,boa
209,corpo,2438,394,boa
210,corpo,2453,337,boa
211,corpo,2658,462,boa
212,corpo,2250,356,boa
213,corpo,2531,406,boa
214,corpo,2523,417,boa
215,corpo,2458,372,boa
216,corpo,2191,283,boa
217,corpo,2604,432,boa
218,corpo,2484,397,boa
219,corpo,2326,350,boa
220,corpo,2539,407,boa
221,corpo,2367,354,boa
222,corpo,2398,395,boa
223,corpo,2651,450,boa
224,corpo,2721,262,boa
225,corpo,2638,443,boa
226,corpo,833,141,boa
227,corpo,1885,303,boa
228,corpo,2695,463,boa
229,corpo,2655,465,boa
230,corpo,2456,436,boa
231,corpo,2620,446,boa
232,corpo,2501,439,boa
233,corpo,2728,443,boa
234,corpo,2768,473,boa
235,corpo,2610,447,boa
236,corpo,2621,442,boa
237,corpo,2608,427,boa
238,corpo,2698,472,boa
239,corpo,2536,421,boa
240,corpo,2730,470,boa
241,corpo,2502,413,boa
242,corpo,2690,445,boa
243,corpo,2537,418,boa
244,corpo,2782,474,boa
245,corpo,2734,484,boa
246,corpo,2813,486,boa
247,corpo,1741,302,boa
248,corpo,2227,359,boa
249,corpo,2533,442,boa
250,corpo,2683,439,boa
251,corpo,2517,431,boa
252,corpo,2843,442,boa
253,corpo,2681,452,boa
254,corpo,2805,482,boa
255,corpo,2767,464,boa
256,corpo,2696,444,boa
257,corpo,2686,455,boa
258,corpo,2546,430,boa
259,corpo,2612,449,boa
260,corpo,2697,433,boa
261,corpo,2732,433,boa
262,corpo,2831,443,boa
263,corpo,2686,439,boa
264,corpo,2650,418,boa
265,corpo,2687,469,boa
266,corpo,2792,466,boa
267,corpo,2464,436,boa
268,corpo,2523,438,boa
269,corpo,2379,405,boa
270,corpo,2705,445,boa
271,corpo,2941,489,boa
272,corpo,2551,411,boa
273,corpo,2701,465,boa
274,corpo,2659,421,boa
275,corpo,2716,467,boa
276,corpo,2639,463,boa
277,corpo,1827,291,boa
278,corpo,2578,460,boa
279,corpo,2429,412,boa
280,corpo,2597,448,boa
281,corpo,2649,458,boa
282,corpo,2711,451,boa
283,corpo,2688,464,boa
284,corpo,2372,321,boa
285,corpo,2819,388,boa
286,corpo,2756,461,boa
287,corpo,2406,421,boa
288,corpo,2661,434,boa
289,corpo,2634,428,boa
290,corpo,2616,435,boa
291,corpo,2414,411,boa
292,corpo,2778,479,boa
293,corpo,2623,448,boa
294,corpo,2501,416,boa
295,corpo,2649,442,boa
296,corpo,2695,448,boa
297,corpo,2724,436,boa
298,corpo,2667,442,boa
299,corpo,2472,386,boa
300,corpo,2745,453,boa
301,corpo,2621,411,boa
302,corpo,2651,450,boa
303,corpo,682,118,boa
304,corpo,1738,269,boa
305,corpo,2636,430,boa
306,corpo,2658,434,boa
307,corpo,2620,438,boa
308,corpo,2743,424,boa
309,corpo,2637,461,boa
310,corpo,2672,450,boa
311,corpo,2609,453,boa
312,paratexto,37,3,media
313,qualidade_baixa,0,0,baixa
314,paratexto,1848,280,boa
315,paratexto,2575,385,boa
316,paratexto,2778,414,boa
317,paratexto,2676,404,boa
318,paratexto,2704,396,boa
319,paratexto,2615,407,boa
320,paratexto,2734,434,boa
321,paratexto,2871,440,boa
322,paratexto,2585,403,boa
323,paratexto,1879,264,boa
324,paratexto,2470,343,boa
325,paratexto,2813,396,boa
326,paratexto,2648,384,boa
