obra,campo,camada,id_kwic,pagina,termo_encontrado,contexto_antes,trecho_central,contexto_depois,uso_figural,subcategoria,comentario
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0000,1,fibrous,societies cannot be described without recognizing them as having a,fibrous,"thread-like, wiry, stringy, ropy, capillary character that is never captured",sim,,"Passagem programatica central. Latour caracteriza a sociedade como dotada de carater ""fibroso, fio-similar, fino, esticado, retorcido, capilar"". Citacao-chave para a tese."
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0001,1,netting,"that resistance, obduracy and sturdiness is more easily achieved through",netting,"lacing, weaving, twisting, of ties that are weak by themselves,",sim,,"Continuacao da mesma passagem programatica: ""resistencia... mais facilmente alcancada atraves de netting, lacing, weaving, twisting"". Citacao-chave."
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0002,1,lacing,"resistance, obduracy and sturdiness is more easily achieved through netting,",lacing,"weaving, twisting, of ties that are weak by themselves, and",sim,,Mesma sequencia canonica do textil-feminista.
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0003,1,weaving,"obduracy and sturdiness is more easily achieved through netting, lacing,",weaving,"twisting, of ties that are weak by themselves, and that",sim,,Mesma sequencia canonica.
latour_1996_clarifications_en,textil,A_top_densidade,latour_1996_clarifications_en#textil#0004,1,twisting,"and sturdiness is more easily achieved through netting, lacing, weaving,",twisting,"of ties that are weak by themselves, and that each",sim,,Mesma sequencia canonica. Note como Latour aproxima-se aqui do vocabulario que Haraway desenvolvera em string figures.
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0000,1,capillary,"recognizing them as having a fibrous, thread-like, wiry, stringy, ropy,",capillary,"character that is never captured by the notions of levels,",sim,,"Fechamento da sequencia ""fibroso, fio-similar, fino, esticado, retorcido, capilar"". A ordem dos termos importa: capilar e o ultimo, marcando o limite minimo do textil."
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0001,1,fabric,grant them sociality and to tie them with the social,fabric,The third one is to consider them as a semiotic,sim,,"""Social fabric"" em registro figural: o segundo recurso para lidar com agencias (granting sociality and tying with the social fabric). Tropo plenamente figural."
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0002,1,nets,AT makes use of some of the simplest properties of,nets,and then add to it an actor that does some,parcial,definicao_operacional,"Uso tecnico-conceitual: ""AT makes use of some of the simplest properties of nets"". Aqui nets opera como propriedade matematica/topologica da rede, transitorio entre figural e tecnico."
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0003,1,threads,"matter how strong, is itself woven out of still weaker",threads,permeates for instance Foucault’s analysis of micro-powers as well as,sim,,"""Each tie, no matter how strong, is itself woven out of still weaker threads"". Tropo figural pleno, conecta com Foucault sobre micro-poderes."
latour_1996_clarifications_en,textil,B_aleatoria,latour_1996_clarifications_en#textil#0004,1,woven,"and that each tie, no matter how strong, is itself",woven,"out of still weaker threads, permeates for instance Foucault’s analysis",sim,,"Continuacao da mesma passagem: ""woven out of still weaker threads"". Tropo figural."
