grupo,n_ocorrencias,n_excluidas,frequencia_por_10k_palavras,variantes_top
topologia,485,0,34.68,"inside(136), outside(101), scale(62), path(39)"
militar,374,0,26.74,"allies(92), mobilisation(28), mobilised(24), alliances(22)"
black_box,134,0,9.58,"black box(71), black boxes(54), black
box(4), black
boxes(2)"
network,127,2,9.08,"networks(78), network(49)"
textil,111,0,7.94,"tied(52), tie(22), ties(10), net(8)"
translation,78,5,5.58,"translation(49), translations(17), translated(8), translates(2)"
inscription,62,0,4.43,"inscriptions(47), inscription(15)"
construction,53,0,3.79,"construction(45), constructed(5), social construction(2), constructing(1)"
spokesperson,46,0,3.29,"spokesperson(18), spokespersons(12), spokesmen(8), spokesman(7)"
enrollment,44,0,3.15,"enrolled(20), enrol(17), enrolment(7)"
trial_of_strength,20,0,1.43,"trials of strength(15), trial of strength(4), trials of
strength(1)"
centre_of_calculation,19,0,1.36,"centres of calculation(16), centres of
calculation(2), centre of calculation(1)"
actor_network,17,0,1.22,"actants(9), actant(8)"
proposition,5,0,0.36,"proposition(3), propositions(2)"
immutable_mobile,4,0,0.29,"immutable mobiles(3), immutable mobile(1)"
articulation,4,0,0.29,"articulated(2), articulate(2)"
