obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1996_clarifications_en,latour,centre_of_calculation,centre of calculation,1,38934,"building of an overarching explanation -that is, for AT, a",centre of calculation,that would hold or replace or ponctualise all the others-,0
latour_1996_clarifications_en,latour,actor_network,actor-network,1,703,Abtstract for a paper The trouble with,actor-network,theory by Bruno Latour Three resources have been developped over,0
latour_1996_clarifications_en,latour,actor_network,actor network,1,1524,us to retie the links between these three resources. The,actor network,theory developped by Callon and his colleagues is an attempt,0
latour_1996_clarifications_en,latour,actor_network,actor-network,1,2632,exactly grasping the social theory and quaint ontology entailed by,actor-network,"(but see Callon, Courtial, Lavergne 1990). Three misunderstandings are due",0
latour_1996_clarifications_en,latour,actor_network,actor-network,1,3353,network. Such is not however the basic metaphor of an,actor-network,A technical network in the engineer’s sense is only one,0
latour_1996_clarifications_en,latour,actor_network,actor-network,1,3473,one of the possible final and stabilized state of an,actor-network,An actor network may lack all the characteristics of a,0
latour_1996_clarifications_en,latour,actor_network,actor network,1,3491,the possible final and stabilized state of an actor-network. An,actor network,may lack all the characteristics of a technical network -it,0
latour_1996_clarifications_en,latour,actor_network,actor-network,1,3853,elements end up to be networks in the engineer’s On,actor-network,"theory sense, that is the electrical grid. Even at this",0
latour_1996_clarifications_en,latour,actor_network,actor-network,1,4012,definition of networks are still a partial projection of an,actor-network,The second misunderstanding is easy to lift: the actor-network theory,0
latour_1996_clarifications_en,latour,actor_network,actor-network,1,4076,an actor-network. The second misunderstanding is easy to lift: the,actor-network,theory (hence AT) has very little to do with the,0
latour_1996_clarifications_en,latour,actor_network,actant,1,4757,to human individual actors but extend the word actor or,actant,"to non-human, non individual entities. Whereas social network adds information",0
latour_1996_clarifications_en,latour,actor_network,actor-network,1,16140,"a completely foreign notion, that of actor. The new hybrid",actor-network,leads us away from mathematical properties into a world which,0
latour_1996_clarifications_en,latour,actor_network,actor-network,1,16520,"inscribed by some other entity -the mathematician, the engineer. An",actor-network,is an entity that does the tracing and the inscribing.,0
latour_1996_clarifications_en,latour,actor_network,actant,1,17555,it. An “actor” in AT is a semiotic definition -an,actant,"that is, something that acts or to which activity is",0
latour_1996_clarifications_en,latour,actor_network,actant,1,17726,"of human individual actors, nor of humans in general. An",actant,can literally be anything provided it is granted to be,0
latour_1996_clarifications_en,latour,actor_network,actants,1,19438,a building; -an ontological claim on the “networky” character of,actants,themselves. AT asserts that the limits of these three unrelated,0
latour_1996_clarifications_en,latour,actor_network,actants,1,20988,“selection” of finer and finer embranchments going from abstract structure,actants,to concrete ones actors. The generative path that is thus,0
latour_1996_clarifications_en,latour,actor_network,actants,1,41996,"claims outside the text in the “social”, and what the",actants,themselves really do in “nature”. The circulating object goes on,0
latour_1996_clarifications_en,latour,actor_network,actant,1,45123,rule a quasi-object should be thought of as a moving,actant,that transforms those which do the moving because they transform,0
latour_1996_clarifications_en,latour,actor_network,actants,1,46021,“(x)-morphic”. It might happen that a generative path has limited,actants,"to a homogeneous repertoire of humans, or of mecanism, or",0
latour_1996_clarifications_en,latour,translation,translations,1,25383,possible provided it is obsessively coded as heterogeneous associations through,translations,It is more an infralanguage than a metalanguage. It is,0
latour_1996_clarifications_en,latour,translation,translates,1,27851,to drop the meaning bit from semiotics... If one now,translates,"semiotics by path-bulding, or order-making, or creation of directions, one",0
latour_1996_clarifications_en,latour,translation,translation,1,36498,and simple -the equivalent of a Lorenz transformation being called,translation,in AT. This infralanguage is enough to move from one,0
latour_1996_clarifications_en,latour,translation,translation,1,46362,"Latour, 199-) Michel Callon, “Some elements of a sociology of",translation,domestication of the scallops and the fishermen of St Brieux,0
latour_1996_clarifications_en,latour,construction,construction,1,1023,The third one is to consider them as a semiotic,construction,and to relate agency with the building of meaning. The,0
latour_1996_clarifications_en,latour,construction,construction,1,20749,out from this toolbox what is useful to understand the,construction,"of entities. The key point is that every entity, including",0
latour_1996_clarifications_en,latour,network,network,1,709,Abtstract for a paper The trouble with,network,theory by Bruno Latour Three resources have been developped over,0
latour_1996_clarifications_en,latour,network,network,1,1530,to retie the links between these three resources. The actor,network,theory developped by Callon and his colleagues is an attempt,0
latour_1996_clarifications_en,latour,network,networks,1,1997,complications Bruno Latour CSI-Paris/Science Studies-San Diego Exploring the properties of,networks,is the task that the Paris group of science and,0
latour_1996_clarifications_en,latour,network,networks,1,2319,this paper to list some of the interesting properties of,networks,and to explain some of the misunderstandings that have arisen.,0
latour_1996_clarifications_en,latour,network,network,1,2638,exactly grasping the social theory and quaint ontology entailed by,network,"(but see Callon, Courtial, Lavergne 1990). Three misunderstandings are due",0
latour_1996_clarifications_en,latour,network,network,1,2749,Three misunderstandings are due to comon usages of the word,network,itself and the connotations they imply. The first mistake would,0
latour_1996_clarifications_en,latour,network,network,1,2923,"sense of a sewage, or train, or subway, or telephone",network,"Recent technologies have often the character of a network, that",1
latour_1996_clarifications_en,latour,network,network,1,2983,telephone “network”. Recent technologies have often the character of a,network,"that is, of exclusively related yet very distant element with",0
latour_1996_clarifications_en,latour,network,network,1,3299,"distant, more compulsory and more strategically organized than a computer",network,Such is not however the basic metaphor of an actor-network.,1
latour_1996_clarifications_en,latour,network,network,1,3359,network. Such is not however the basic metaphor of an,network,A technical network in the engineer’s sense is only one,0
latour_1996_clarifications_en,latour,network,network,1,3380,not however the basic metaphor of an actor-network. A technical,network,in the engineer’s sense is only one of the possible,0
latour_1996_clarifications_en,latour,network,network,1,3479,one of the possible final and stabilized state of an,network,An actor network may lack all the characteristics of a,0
latour_1996_clarifications_en,latour,network,network,1,3497,possible final and stabilized state of an actor-network. An actor,network,may lack all the characteristics of a technical network -it,0
