obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1999_pandora_en,latour,inscription,inscription,1,74749,on a scale of one to fifty thousand. A single,inscription,"would not inspire trust, but the superposition of the two",0
latour_1999_pandora_en,latour,inscription,inscriptions,1,75849,"comes to them in the form of two-dimensional, superposable, combinable",inscriptions,"* . It has al ways been the same story,",0
latour_1999_pandora_en,latour,inscription,inscriptions,1,107156,tion dictated to us by Rene and twice verified the,inscriptions,on the bags-it seems to me that never before has,0
latour_1999_pandora_en,latour,inscription,inscription,1,120673,"be comes evident, but one that, under the name of",inscription,has re ceived more attention than the others. We move,0
latour_1999_pandora_en,latour,inscription,inscriptions,1,143869,time we have already seen many times : thanks to,inscriptions,we are able to oversee and control a situation in,0
latour_1999_pandora_en,latour,inscription,inscription,1,149173,this picture-one more form of re cording amid forms of,inscription,"We are again among maps and signs, two-dimensional documents and",0
latour_1999_pandora_en,latour,inscription,inscriptions,1,149462,"No, because we now have gained these diagrams, these new",inscriptions,we are at tempting to interpret and to insert as,0
latour_1999_pandora_en,latour,inscription,inscription,1,168614,same way as their dia grams and maps. Unlike Armand's,inscription,"of the soil of Boa Vista, my photographs do not",0
latour_1999_pandora_en,latour,inscription,inscriptions,1,734956,and obscure they become. CENTER OF CALCULATION: Any site where,inscriptions,are combined e and make possible a typ of calculation.,0
latour_1999_pandora_en,latour,inscription,inscription,1,741413,of intermediaries* but of mediations*. IMMUTA BLE MOB ILE: See,inscription,INSCRIPTION: A general term that refers to all the types,0
latour_1999_pandora_en,latour,inscription,inscription,1,741430,intermediaries* but of mediations*. IMMUTA BLE MOB ILE: See inscription.,INSCRIPTION,A general term that refers to all the types of,0
latour_1999_pandora_en,latour,inscription,inscriptions,1,741643,"a piece of paper, a trace. Usually but not always",inscriptions,"are two-dimensional, superimposable, and combinable. They are always mobile, GLOSSARY",0
latour_1999_pandora_en,latour,inscription,inscription,1,754584,cus on the transformations so typical of the sciences; like,inscription,""" or ""articulation* , "" ""translation"" is a term that",0
