obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_1999_recalling_en,latour,actor_network,actor-network,1,1366,"a field of forces where morality' humanity, psychologywas absent.Thus, the",actor-network,was split into two: demiurgy on one side; 'death of,0
latour_1999_recalling_en,latour,actor_network,actor-network,1,1604,symmetrical critiques are off target even though the very expressionof,actor-network,invites this reaction.The original idea was not to occupy a,0
latour_1999_recalling_en,latour,construction,social construction,1,7576,"something,it is to havedevelopeda sciencestudiesthat entirely bypasses the question of",social construction,"and the 'realist/ relativistdebate'.lt is not, it neverwas.a pertinentquestion.even though",0
latour_1999_recalling_en,latour,network,network,1,1372,"a field of forces where morality' humanity, psychologywas absent.Thus, the",network,was split into two: demiurgy on one side; 'death of,0
latour_1999_recalling_en,latour,network,network,1,1610,symmetrical critiques are off target even though the very expressionof,network,invites this reaction.The original idea was not to occupy a,0
latour_1999_recalling_en,latour,network,network,1,2095,"refocus the argument. Let us abandon the words ,actor' and",network,"for a moment and pay someattention to lwo operations, oneof",0
latour_1999_recalling_en,latour,network,networks,1,3832,society is sup posedto be located.Contexts too flow locally through,networks,"be these geography,medicine, statistics,economics,or even sociology. This is where ANT",0
latour_1999_recalling_en,latour,network,network,1,4346,Actor' is not here to play the role of agencyand,network,to play the role of society.Actor and network-if we want,0
latour_1999_recalling_en,latour,network,network,1,4393,of agencyand 'network' to play the role of society.Actor and,network,we want to still usethose terms O The Editorial Board,0
latour_1999_recalling_en,latour,network,network,1,8613,"coffin-thus abandoningwhat is so wrong with ANT, that is 'actor',",network,"'theory' without forgettingthe hyphenl-some other creaturemight emerse,light and beautiful:our future",0
latour_1999_recalling_en,latour,militar,wars,1,7212,"which it derived, mentioned social constructivism and the recent Science",Wars,Clearly the treatment of the collectiveof scientificreality as a circulation,0
latour_1999_recalling_en,latour,topologia,scale,1,3586,back. In the social domain there is no change of,scale,is so to speak always flat and folded and this,0
latour_1999_recalling_en,latour,topologia,flat,1,3617,is no change of scale.It is so to speak always,flat,and folded and this is especiallytrue of the natural sciencesthat,0
latour_1999_recalling_en,latour,topologia,folded,1,3626,change of scale.It is so to speak always flat and,folded,and this is especiallytrue of the natural sciencesthat are said,0
latour_1999_recalling_en,latour,topologia,flow,1,3811,environment in which society is sup posedto be located.Contexts too,flow,"locally through networks, be these geography,medicine, statistics,economics,or even sociology. This",0
latour_1999_recalling_en,latour,topologia,topology,1,4152,possible:economiesemergeout of economics;societiesout of soci ologies;cultures out of anthropologies;etc. The,topology,"of the social, John Law is right, is rather bizarre,",0
latour_1999_recalling_en,latour,topologia,locus,1,4252,"rather bizarre, but I don't think it is fractal. Each",locus,can be seenas framing and summing up. Actor' is not,0
latour_1999_recalling_en,latour,topologia,fluid,1,5419,dimensionsand touchstones.John Law and Annemarie Mol have used the word,fluid,"(Mol and Law 1994),Adrian Cussins,the word trails (Cussins, 1992),Charis Cussins,the",0
latour_1999_recalling_en,latour,topologia,circulations,1,5733,networkshas rendered irretrievable:it is a theory that saysthat by following,circulations,"we can get more than by defining entities,essenceor provinces.In that",0
latour_1999_recalling_en,latour,topologia,fluids,1,6632,theory of nature. It is a theory of the spaceor,fluids,circulating in a non-modern situation. What type of connection can,0
latour_1999_recalling_en,latour,topologia,circulating,1,6639,of nature. It is a theory of the spaceor fluids,circulating,in a non-modern situation. What type of connection can be,0
latour_1999_recalling_en,latour,topologia,connection,1,6691,spaceor fluids circulating in a non-modern situation. What type of,connection,"can be established betweenthose terms, other than the systematicmodernist solution?",0
latour_1999_recalling_en,latour,topologia,circulate,1,6993,Let us not forget that the first thing we made,circulate,"is nature and reference,that is the 'out there' box. I",0
latour_1999_recalling_en,latour,topologia,circulation,1,7283,Wars. Clearly the treatment of the collectiveof scientificreality as a,circulation,"of transformations-is it even necessaryto say again that referenceis real,",0
