obra,autor_yaml,grupo,termo_encontrado,pagina,posicao_no_texto,contexto_antes,trecho_central,contexto_depois,descartado_por_exclusao
latour_woolgar_1986_lab_life_en,latour,inscription,literary inscription,6,1803,40 Notes 42 2 AN ANTHROPOLOGIST VISITS THE LABORATORY 43,Literary Inscription,45 The Culture of the Laboratory 53 Articles about Neuroendocrinology,0
latour_woolgar_1986_lab_life_en,latour,inscription,"literary
inscription",46,95531,"observer,"" 1 in his attempts to use the notion of","literary
inscription",2 as a principle for organizing his initial observations of,0
latour_woolgar_1986_lab_life_en,latour,inscription,literary inscription,46,95630,a principle for organizing his initial observations of the laboratory.,Literary Inscription,Although our observer shares the same broad cultural knowlege as,0
latour_woolgar_1986_lab_life_en,latour,inscription,inscription,49,102597,a surgical table. The result of this strange mania for,inscription,"is the proliferation of files, documents, and dictionaries. Thus, in",0
latour_woolgar_1986_lab_life_en,latour,inscription,inscription,52,110050,"number of other items of apparatus, which we shall call",inscription,"devices,"" 4 transform pieces of matter into written documents. More",0
latour_woolgar_1986_lab_life_en,latour,inscription,inscription,52,110142,"transform pieces of matter into written documents. More exactly, an",inscription,device is any item of apparatus or particular configuration of,0
latour_woolgar_1986_lab_life_en,latour,inscription,inscription,52,110486,have a vital significance for the production of a useful,inscription,"Furthermore, some of the components of such a configuration are",0
latour_woolgar_1986_lab_life_en,latour,inscription,inscription,52,110664,the counter shown in Photograph 6 is not itself an,inscription,device since its output is not directly usable in an,0
latour_woolgar_1986_lab_life_en,latour,inscription,inscription,52,110773,"in an argument. It does, however, form part of an",inscription,device known as a bioassay. 5 An important consequence of,0
latour_woolgar_1986_lab_life_en,latour,inscription,inscription,52,110861,a bioassay. 5 An important consequence of this notion of,inscription,device is that inscriptions are regarded as having a direct,0
latour_woolgar_1986_lab_life_en,latour,inscription,inscriptions,52,110888,important consequence of this notion of inscription device is that,inscriptions,"are regarded as having a direct relationship to ""the original",0
latour_woolgar_1986_lab_life_en,latour,inscription,inscription,52,111721,m i l a r i t y between the,inscription,"capabilities of apparatus, the manic passion for marking, coding, and",0
latour_woolgar_1986_lab_life_en,latour,inscription,literary inscription,53,112356,began to take on the appearance of a system of,literary inscription,"From this perspective, many hitherto strange occurrences fell into place.",0
latour_woolgar_1986_lab_life_en,latour,inscription,inscriptions,53,112578,"the literary theme, could be seen as means of obtaining",inscriptions,"For example, the energy inputs (Photograph 1) represented intermediary resources",0
latour_woolgar_1986_lab_life_en,latour,inscription,inscription,53,112720,resources to be consumed in the process of ensuring that,inscription,devices functioned properly. By also taking into account the supply,0
latour_woolgar_1986_lab_life_en,latour,inscription,inscription,53,113100,kind of input necessary for the efficient operation of the,inscription,devices and for the production and dispatch of articles. The,0
latour_woolgar_1986_lab_life_en,latour,inscription,literary inscription,54,116171,"that is new. For an anthropologist, however, the notion of",literary inscription,"is still problematic. As we said earlier, our observer has",0
