grupo,latour_woolgar_1986_lab_life_en__n,latour_woolgar_1986_lab_life_en__freq_10k,latour_1987_science_action_en__n,latour_1987_science_action_en__freq_10k,latour_1999_pandora_en__n,latour_1999_pandora_en__freq_10k,aparece_em_n_obras,perfil
actor_network,0,0.00,17,1.22,31,2.42,2,introduzido_e_persiste
agonistic,32,3.03,0,0.00,0,0.00,1,apenas_inicial
articulation,0,0.00,4,0.29,53,4.14,2,introduzido_e_persiste
black_box,10,0.95,134,9.58,17,1.33,3,persistente
centre_of_calculation,0,0.00,19,1.36,4,0.31,2,introduzido_e_persiste
circulating_reference,0,0.00,0,0.00,18,1.41,1,introduzido_no_fim
construction,204,19.29,53,3.79,62,4.84,3,persistente
enrollment,1,0.09,44,3.15,12,0.94,3,persistente
factish,0,0.00,0,0.00,53,4.14,1,introduzido_no_fim
immutable_mobile,0,0.00,4,0.29,3,0.23,2,introduzido_e_persiste
inscription,125,11.82,62,4.43,14,1.09,3,persistente
militar,39,3.69,374,26.74,212,16.56,3,persistente
network,45,4.26,127,9.08,35,2.73,3,persistente
proposition,5,0.47,5,0.36,41,3.20,3,persistente
spokesperson,1,0.09,46,3.29,0,0.00,2,intermitente
translation,3,0.28,78,5.58,70,5.47,3,persistente
trial_of_strength,0,0.00,20,1.43,0,0.00,1,intermitente
